X, Y, Pressure, TiltX, TiltY, Time
568.4325,544.033333333333,0.384521484375,11223,12152,00:01.6334144
566.865,544.793333333333,0.407958984375,11223,12152,00:01.6487909
567.0075,546.82,0.407958984375,11223,12152,00:01.6487909
567.2925,547.453333333333,0.407958984375,11223,12152,00:01.6711366
568.7175,550.873333333333,0.4384765625,11223,12152,00:01.6865803
570.4275,553.28,0.45849609375,11223,12152,00:01.7019499
572.85,555.94,0.51123046875,11223,12152,00:01.7174810
576.9825,558.726666666667,0.54931640625,11223,12152,00:01.7174810
578.1225,559.486666666667,0.55517578125,11223,12152,00:01.7330578
581.685,562.526666666667,0.56982421875,11223,12152,00:01.7486798
586.3875,565.82,0.609619140625,11223,12152,00:01.7551910
588.525,566.453333333333,0.611572265625,9000,9000,00:01.7708173
595.365,568.733333333333,0.619384765625,11576,11462,00:01.7708173
596.9325,568.986666666667,0.62353515625,11576,11462,00:01.7864378
605.1975,570.633333333333,0.642578125,11576,11462,00:01.8020708
612.0375,571.14,0.652587890625,11576,11462,00:01.8176919
620.16,570.76,0.67333984375,11576,11462,00:01.8333142
627.855,570.126666666667,0.67724609375,11576,11462,00:01.8551259
636.12,569.366666666667,0.68115234375,11576,11462,00:01.8551259
638.2575,569.113333333333,0.68115234375,11576,11462,00:01.8707575
646.5225,568.226666666667,0.684326171875,11464,11355,00:01.8863745
656.355,566.2,0.697998046875,11464,11355,00:01.9020113
665.0475,564.3,0.705322265625,11420,11312,00:01.9176914
673.0275,561.513333333333,0.713134765625,11266,11199,00:01.9335511
682.7175,557.333333333333,0.724853515625,11244,11223,00:01.9489046
692.55,552.646666666667,0.734130859375,11244,11223,00:01.9715347
708.225,545.046666666667,0.738037109375,11117,11251,00:01.9715347
710.505,543.653333333333,0.738037109375,11117,11251,00:01.9867767
717.63,539.98,0.738037109375,11011,11264,00:02.0024310
727.605,535.04,0.739990234375,10940,11322,00:02.0024310
730.0275,534.026666666667,0.742431640625,10898,11274,00:02.0179729
737.01,530.733333333333,0.748291015625,10898,11274,00:02.0335818
746.985,526.046666666667,0.748291015625,10857,11226,00:02.0492042
756.675,520.726666666667,0.748291015625,10838,11241,00:02.0557172
761.52,518.066666666667,0.75048828125,10838,11241,00:02.0713494
773.3475,511.353333333333,0.7548828125,10763,11295,00:02.0888288
781.0425,506.413333333333,0.7548828125,10688,11201,00:02.0989859
787.0275,502.233333333333,0.7548828125,10688,11201,00:02.1147707
794.1525,496.533333333333,0.7548828125,10618,11248,00:02.1147707
795.8625,495.14,0.7548828125,10618,11248,00:02.1302324
800.1375,490.833333333333,0.757568359375,10618,11248,00:02.1302324
801.42,489.313333333333,0.760498046875,10618,11248,00:02.1458538
806.4075,482.98,0.760498046875,10618,11248,00:02.1458538
807.5475,481.206666666667,0.760498046875,10594,11263,00:02.1715029
813.105,472.213333333333,0.760498046875,10444,11351,00:02.1715029
813.96,470.313333333333,0.760498046875,10444,11351,00:02.1871700
817.38,462.206666666667,0.760498046875,10444,11351,00:02.1871700
818.235,459.8,0.760498046875,10444,11351,00:02.2027572
820.0875,452.706666666667,0.760498046875,10444,11351,00:02.2183809
821.7975,443.206666666667,0.760498046875,10444,11351,00:02.2183809
822.225,440.673333333333,0.760498046875,10444,11351,00:02.2343040
822.9375,432.82,0.75830078125,10400,11374,00:02.2496309
823.08,422.813333333333,0.76025390625,10332,11406,00:02.2561374
822.9375,417.366666666667,0.75830078125,10332,11406,00:02.2722015
821.94,406.473333333333,0.75830078125,10306,11418,00:02.2875334
820.0875,394.946666666667,0.75830078125,10281,11429,00:02.2875334
819.375,392.033333333333,0.75830078125,10281,11429,00:02.3031351
816.9525,384.18,0.75830078125,10204,11462,00:02.3031351
815.955,381.646666666667,0.75537109375,10180,11472,00:02.3186287
812.3925,373.92,0.74951171875,10180,11472,00:02.3342489
807.12,364.673333333333,0.747314453125,10181,11653,00:02.3563767
799.71,354.033333333333,0.747314453125,10209,11707,00:02.3720064
790.305,344.786666666667,0.74462890625,10209,11707,00:02.3876356
778.62,335.413333333333,0.74462890625,10238,11765,00:02.3876356
776.1975,334.02,0.74462890625,10238,11765,00:02.4032576
768.93,329.84,0.74462890625,10263,11814,00:02.4032576
766.365,328.573333333333,0.74462890625,10296,11878,00:02.4188781
758.67,325.153333333333,0.74462890625,10401,12078,00:02.4344874
750.69,322.62,0.73974609375,10438,12145,00:02.4344874
748.2675,321.86,0.73779296875,10438,12145,00:02.4566359
738.5775,319.58,0.73779296875,10495,12251,00:02.4722771
723.615,317.426666666667,0.73779296875,10495,12251,00:02.4879020
714.0675,316.92,0.726806640625,10622,12476,00:02.5035172
711.36,316.793333333333,0.720947265625,10622,12476,00:02.5035172
705.5175,316.92,0.710693359375,10622,12476,00:02.5192178
690.555,318.06,0.6962890625,10765,12720,00:02.5347616
677.8725,320.086666666667,0.689453125,10765,12720,00:02.5347616
674.7375,320.72,0.686767578125,10800,12779,00:02.5503782
664.905,323.126666666667,0.68115234375,10800,12779,00:02.5568916
661.6275,324.14,0.68115234375,10800,12779,00:02.5728256
646.8075,329.46,0.67236328125,10868,12890,00:02.5882941
635.835,334.78,0.67431640625,11045,12836,00:02.6037645
625.86,340.226666666667,0.65625,11088,12899,00:02.6193874
615.7425,346.56,0.63671875,11201,12860,00:02.6350087
603.7725,355.046666666667,0.610107421875,11238,12847,00:02.6571359
592.6575,363.533333333333,0.59326171875,11402,12781,00:02.6571359
590.6625,365.306666666667,0.59130859375,11442,12833,00:02.6571359
584.6775,370.626666666667,0.58740234375,11442,12833,00:02.6727656
580.545,374.046666666667,0.58544921875,11442,12833,00:02.6727656
578.55,375.82,0.58544921875,11482,12816,00:02.6883981
573.135,381.013333333333,0.58544921875,11606,12758,00:02.7040157
568.4325,386.586666666667,0.58544921875,11637,12742,00:02.7196428
561.735,395.706666666667,0.58544921875,11637,12742,00:02.7352645
556.89,402.8,0.58544921875,11702,12708,00:02.7571308
552.4725,409.386666666667,0.58349609375,11792,12657,00:02.7571308
551.6175,410.906666666667,0.58349609375,11821,12639,00:02.7727587
547.6275,419.266666666667,0.58349609375,11850,12622,00:02.7884073
545.205,426.106666666667,0.58349609375,11892,12670,00:02.7884073
544.635,427.88,0.58349609375,11892,12670,00:02.8040354
542.7825,433.326666666667,0.58349609375,11892,12670,00:02.8199939
540.5025,441.053333333333,0.58154296875,11892,12670,00:02.8199939
539.79,442.953333333333,0.58154296875,11892,12670,00:02.8354018
538.08,448.906666666667,0.58154296875,11952,12632,00:02.8508686
535.9425,456.506666666667,0.58154296875,11980,12613,00:02.8730354
533.9475,467.78,0.57763671875,12124,12507,00:02.8887467
533.805,474.873333333333,0.57763671875,12124,12507,00:02.8887467
534.09,478.42,0.57763671875,12124,12507,00:02.9042436
534.375,481.713333333333,0.57763671875,12124,12507,00:02.9042436
534.5175,483.36,0.57763671875,12124,12507,00:02.9198648
535.3725,488.046666666667,0.57568359375,12150,12486,00:02.9354861
537.0825,496.153333333333,0.57568359375,12175,12466,00:02.9576130
